,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
not_us_citizen,,9906,4058,18799,17857,22835,25692,19414,9757
-> Central American,,,,,,,,,
us_citizen,13947,0,7159,20512,28407,36577,36286,13104,13408
not_us_citizen,,,,2244,17440,24825,20127,15990,6405
-> Argentinean,,,,,,,,,
us_citizen,19711,0,27734,34833,42290,48334,59544,44596,22041
not_us_citizen,,0,0,13433,14264,31833,31015,29602,33712
-> Bolivian,,,,,,,,,
us_citizen,11942,0,36053,32506,39516,48368,36780,32435,10867
not_us_citizen,,,10488,6750,32867,32484,25651,27070,15206
-> Chilean,,,,,,,,,
us_citizen,18425,0,16623,20680,38933,41780,39060,32836,15441
not_us_citizen,,0,294,7699,37374,34440,31736,29385,22018
-> Colombian,,,,,,,,,
us_citizen,14561,12717,8674,28185,31159,37227,39387,32245,17294
not_us_citizen,,0,1589,12481,14060,20560,24563,25313,14297
-> Ecuadorian,,,,,,,,,
us_citizen,8413,2571,15154,23281,27200,34254,34996,25991,14928
not_us_citizen,,0,3068,13821,19673,24911,26514,23793,15711
-> Paraguayan,,,,,,,,,
us_citizen,11241,,0,12138,22643,43689,24395,27884,4752
not_us_citizen,,,,81703,53592,30294,28863,38946,17283
-> Peruvian,,,,,,,,,
us_citizen,9686,0,9904,17011,36960,35655,40700,28573,13342
not_us_citizen,,0,2819,14729,18361,27977,26565,24318,13056
-> Uruguayan,,,,,,,,,
us_citizen,13030,40000,11586,41912,25647,37145,43553,32817,11541
not_us_citizen,,,,8657,11931,25947,33028,25615,28299
-> Venezuelan,,,,,,,,,
us_citizen,6579,9590,17658,20978,54903,52586,44204,37143,20208
not_us_citizen,,,,5906,26993,21168,28466,26138,13909
-> South American,,,,,,,,,
us_citizen,21015,,19525,29986,37861,55434,33195,25501,31002
not_us_citizen,,,0,55588,33679,34982,36660,26255,17466
-> Latin American,,,,,,,,,
us_citizen,6851,1905,4266,24405,28719,38137,29410,27024,9568
not_us_citizen,,,,0,0,27776,47055,31288,16008
-> Latin,,,,,,,,,
us_citizen,14294,10319,18273,23156,28879,35601,36856,29359,13604
not_us_citizen,,,,6749,25830,18911,24203,21023,17798
-> Latino,,,,,,,,,
us_citizen,11436,5790,14247,20643,31812,35591,36368,24713,11141
not_us_citizen,,,10483,21282,19327,22664,23226,21122,12322
-> Puerto Rican,,,,,,,,,
us_citizen,15462,2003,8588,14378,23151,29031,25728,18000,10867
not_us_citizen,,,0,30360,25356,43456,17424,26207,12671
-> Cuban,,,,,,,,,
us_citizen,21003,4759,11413,31306,28945,25587,27290,22878,16019
not_us_citizen,,0,3037,17267,14546,15090,20590,18765,13964
-> Dominican,,,,,,,,,
us_citizen,7664,7255,3689,15809,24222,28555,28795,21688,10833
not_us_citizen,,0,2765,12633,15913,19468,18402,16109,10579
-> Hispanic,,,,,,,,,
us_citizen,12130,2380,12164,22920,27476,33756,31727,25348,12270
not_us_citizen,,2262,8766,15281,18632,23666,21697,17776,12598
-> Spanish,,,,,,,,,
us_citizen,19379,7728,15585,30850,34920,42162,38711,31043,14889
not_us_citizen,,10275,5575,14268,21771,24870,25288,23850,23537
-> Spanish American,,,,,,,,,
us_citizen,13915,0,20186,39869,48798,31072,31804,16085,16730
not_us_citizen,,,,0,0,0,19332,21948,63230
-> Bahamian,,,,,,,,,
us_citizen,15339,0,5883,14131,32787,32178,56436,28855,25150
not_us_citizen,,,,5202,17000,26774,23841,23833,8774
-> Barbadian,,,,,,,,,
us_citizen,21566,0,11387,8531,35793,40200,53292,56774,25377
not_us_citizen,,,0,15357,25005,32476,33239,30247,31300
-> Belizean,,,,,,,,,
us_citizen,12875,0,9976,13356,34128,39072,44667,36008,13413
not_us_citizen,,,60000,7505,20360,33262,26278,18406,15312
-> Jamaican,,,,,,,,,
